quánzhí, 全职：専任の
láiyuán, 来源：出所、〜は〜から出てくる
yú, 于：〜において、〜に対して
liáokuò, 辽阔：果てしなく広い
shānchuān, 山川：山と川、山河
chuándì, 传递：転送する、リレーする、伝達する
yǒuyì, 友谊：友好、友情
hépíng, 和平：平和
jìnqǔ, 进取：中へ入っていく
xiāngchǔ, 相处：付き合う、生活や仕事を共にする
měihǎo, 美好：美しい、すばらしい
shèngqíng, 盛情：厚意、厚情
dàibiǎo, 代表：代表
fánróng, 繁荣：繁栄している、繁栄させる
jīqíng, 激情：激情
huǒbàn, 伙伴：仲間、同僚
zàoxíng, 造型：造型する、形作る
róngrù, 融入：溶け込む
xióngmāo, 熊猫：パンダ
zànglíngyáng, 藏羚羊：チベットカモシカ
yànzi, 燕子：ツバメ
yǐjí, 以及：および、並びに
shènghuǒ, 圣火：聖火
fēnggé, 风格：風格
zhùfú, 祝福：祝福する
tú'àn,图案：図案、デザイン、模様
hānhòu, 憨厚：素直である
guóbǎo, 国宝：国宝
jīmǐn, 机敏：機敏である、すばしっこい
línghuó, 灵活：すばしっこい、融通がきく
zhǎnchì, 展翅：翼を広げる
fēixiáng, 飞翔：飛び回る
xǐyuè, 喜悦：喜ばしい
bōsǎ, 播撒：散布する
xìngmíng, 姓名：姓名
dàzhì, 大致：おおよその、だいたいの
yǐxià, 以下：より下の、以下
páng, 旁：他の、付近、漢字の偏
rú, 如：たとえば
yuǎngǔ, 缘故：原因、わけ
shídài, 时代：時代
chóngbài, 崇拜：崇拝する
shēngwù, 生物：生物
zǔxiān, 祖先：祖先
guānzhí, 官职：(旧)官職
juéwèi, 爵位：爵位
zhùdì, 住地：住んでいる所
fāngwèi, 方位：方位
jǐngwù, 景物：景物、風物
táoqì, 陶器：陶器、焼き物
gōngjiàn, 弓箭：弓矢
mínghào, 名号：名称
dānxìng, 单姓：1字の姓
fùxìng, 复姓：2文字以上の姓
zǔchéng, 组成：構成する
jiūjìng, 究竟：結局、しょせん
zhìjīn, 至今：いまなお
shùzì, 数字：数字
dài, 代：世代、代わる
shōují, 收集：集める、収集する
búguò, 不过：ただし、但是よりも軽いかんじ
tèdiǎn, 特点：特徴、特色
páixù, 排序：順番に並べる、ソート
jiāzú, 家族：一族
bèi, 辈：世代、一生
páiliè, 排列：銃所よく並べる、順列
xiāngtóng, 相同：同じである
dìwèi, 地位：地位、立場
zì, 字：字
hào, 号：番号
wénxué, 文学：文学
shīrén, 诗人：詩人
yòunián, 幼年：幼年、幼いころ
jūzhù, 居住：居住する
qǔ, 取：取る、受け取る
hányì, 含义：含まれている意味
bāohán, 包含：含む、含まれる
chūshēng, 出生：生まれる
dìdiǎn, 地点：地点、場所、位置
měidé, 美德：美徳、よい行い
zhōng, 忠：忠実である、誠実である
lǐ, 礼：礼儀、〜式(儀式)
wēiwǔ, 威武：武力、権勢
yǒngměng, 勇猛：勇猛である
wēnróu, 温柔：おとなしい、やさしい
měilì, 美丽：きれいである、美しい
fāng, 芳：芳しい、かぐわしい
yù, 玉：玉
juān, 娟：美しい
qǐmíng, 起名：名前をつける
jiǎngjiu, 讲究：気をつける、重んじる
fēi, 非：〜ではない、〜にあらず、非
zhèngshì, 正式：正式の
